# FNIRS session start 2025-08-10T02:36:38.757588Z
# columns: t_rel, sr, nr, red_mean, red_std, red_min, red_max, ir_mean, ir_std, ir_min, ir_max, red_slope, ir_slope, mbll_hbo_mean, mbll_hbo_std, mbll_hbr_mean, mbll_hbr_std, hbo_slope, hbr_slope, red_delta_mean, ir_delta_mean, hr_bpm
0.029,74.000,2.000,-893.472973,10418.207301,-32768.000000,30721.000000,-83.040541,10610.822714,-32432.000000,28910.000000,19375.025704,-28077.365208,nan,nan,nan,nan,nan,nan,-838.472973,-82.040541,0.000
1.081,1228.000,33.000,-911.677215,10002.373491,-32768.000000,30721.000000,-439.864715,10488.437467,-32480.000000,29106.000000,-613.304382,-696.234822,nan,nan,nan,nan,nan,nan,-856.677215,-438.864715,0.000
2.129,1206.000,32.000,-1101.271930,10148.138630,-32768.000000,30721.000000,-437.853270,10127.709275,-32736.000000,29106.000000,-381.201983,-52.773904,nan,nan,nan,nan,nan,nan,-1046.271930,-436.853270,0.000
3.210,1248.000,34.000,-1123.096113,10212.472754,-32768.000000,30721.000000,-421.079340,10155.897909,-32736.000000,29106.000000,-114.048881,-17.798375,nan,nan,nan,nan,nan,nan,-1068.096113,-420.079340,0.000
4.169,1108.000,30.000,-1171.133224,10271.439683,-32768.000000,30721.000000,-522.317845,10272.061693,-32736.000000,29106.000000,-103.329345,-120.260210,nan,nan,nan,nan,nan,nan,-1116.133224,-521.317845,0.000
5.221,1178.000,32.000,-1161.604105,10249.430026,-32768.000000,30721.000000,-524.572162,10235.456320,-32736.000000,29106.000000,-44.736976,-69.484358,nan,nan,nan,nan,nan,nan,-1106.604105,-523.572162,0.000
6.243,1192.000,32.000,-1135.805087,10205.836868,-32768.000000,30721.000000,-580.952032,10314.135256,-32736.000000,29106.000000,-4.109026,-84.301475,nan,nan,nan,nan,nan,nan,-1080.805087,-579.952032,0.000
7.289,1216.000,33.000,-1102.156213,10169.725647,-32768.000000,30721.000000,-608.260000,10390.364019,-32736.000000,29106.000000,23.280311,-68.879315,nan,nan,nan,nan,nan,nan,-1047.156213,-607.260000,0.000
8.283,1104.000,30.000,-1102.187042,10164.275121,-32768.000000,30721.000000,-585.957819,10364.249024,-32736.000000,29106.000000,16.250638,-33.855445,nan,nan,nan,nan,nan,nan,-1047.187042,-584.957819,0.000
9.307,1192.000,32.000,-1117.721012,10184.119217,-32768.000000,30721.000000,-557.193560,10334.351872,-32736.000000,29106.000000,1.958373,-8.738727,nan,nan,nan,nan,nan,nan,-1062.721012,-556.193560,0.000
10.325,1190.000,32.000,-1138.052614,10201.577041,-32768.000000,30721.000000,-543.496481,10314.654323,-32736.000000,29106.000000,-8.581150,0.361544,nan,nan,nan,nan,nan,nan,-1083.052614,-542.496481,0.000
11.371,1172.000,32.000,-1120.513808,10183.837783,-32768.000000,30721.000000,-563.852914,10356.654770,-32736.000000,29106.000000,1.957929,-9.552833,nan,nan,nan,nan,nan,nan,-1065.513808,-562.852914,0.000
12.480,1244.000,34.000,-1105.293409,10184.066540,-32768.000000,30721.000000,-590.441193,10445.376572,-32736.000000,29106.000000,8.039114,-19.614235,nan,nan,nan,nan,nan,nan,-1050.293409,-589.441193,0.000
13.500,1154.000,32.000,-1095.937573,10195.145508,-32768.000000,30721.000000,-625.120985,10545.508683,-32736.000000,29106.000000,10.609336,-30.086921,nan,nan,nan,nan,nan,nan,-1040.937573,-624.120985,0.000
14.610,1246.000,34.000,-1090.405802,10199.621949,-32768.000000,30721.000000,-656.086199,10609.232358,-32736.000000,29106.000000,10.223164,-35.382240,nan,nan,nan,nan,nan,nan,-1035.405802,-655.086199,0.000
15.606,1128.000,31.000,-1099.517282,10237.930322,-32768.000000,30721.000000,-661.691555,10660.453264,-32736.000000,29106.000000,4.981579,-30.988613,nan,nan,nan,nan,nan,nan,-1044.517282,-660.691555,0.000
16.686,1242.000,34.000,-1119.057891,10280.444049,-32768.000000,30721.000000,-676.975160,10695.463966,-32736.000000,29106.000000,-2.301060,-30.449532,nan,nan,nan,nan,nan,nan,-1064.057891,-675.975160,0.000
17.703,1128.000,31.000,-1125.960346,10307.110246,-32768.000000,30721.000000,-687.897580,10737.085583,-32736.000000,29106.000000,-4.170886,-29.242631,nan,nan,nan,nan,nan,nan,-1070.960346,-686.897580,0.000
18.756,1202.000,33.000,-1137.057850,10338.673483,-32768.000000,30721.000000,-688.668376,10761.788109,-32736.000000,29106.000000,-6.706696,-24.729742,nan,nan,nan,nan,nan,nan,-1082.057850,-687.668376,0.000
19.769,1206.000,33.000,-1122.918707,10327.513941,-32768.000000,30721.000000,-700.445584,10786.681619,-32736.000000,29106.000000,-1.569308,-24.451449,nan,nan,nan,nan,nan,nan,-1067.918707,-699.445584,0.000
20.732,1062.000,29.000,-1109.083938,10309.740665,-32768.000000,30721.000000,-700.652993,10786.250461,-32736.000000,29106.000000,7.400047,-19.347426,nan,nan,nan,nan,nan,nan,-1054.083938,-699.652993,0.000
21.811,1168.000,32.000,-1100.697565,10304.051519,-32768.000000,30721.000000,-707.159595,10799.036807,-32736.000000,29106.000000,7.501022,-17.697564,nan,nan,nan,nan,nan,nan,-1045.697565,-706.159595,0.000
22.863,1220.000,33.000,-1101.163015,10304.194665,-32768.000000,30721.000000,-714.685767,10801.318150,-32736.000000,29106.000000,3.862300,-12.478543,nan,nan,nan,nan,nan,nan,-1046.163015,-713.685767,0.000
23.941,1292.000,34.000,-1110.271971,10304.875263,-32768.000000,30721.000000,-729.398650,10785.249313,-32736.000000,29106.000000,-1.677010,-16.450553,nan,nan,nan,nan,nan,nan,-1055.271971,-728.398650,0.000
24.959,1126.000,31.000,-1102.401353,10293.096379,-32768.000000,30721.000000,-738.545362,10787.234302,-32736.000000,29106.000000,0.971466,-17.422132,nan,nan,nan,nan,nan,nan,-1047.401353,-737.545362,0.000
26.019,1216.000,33.000,-1094.951785,10288.024390,-32768.000000,30721.000000,-739.637213,10787.672347,-32736.000000,29106.000000,4.078735,-17.050241,nan,nan,nan,nan,nan,nan,-1039.951785,-738.637213,0.000
27.149,1284.000,35.000,-1089.190228,10285.097105,-32768.000000,30721.000000,-742.508638,10789.652790,-32736.000000,29106.000000,7.830432,-17.039880,nan,nan,nan,nan,nan,nan,-1034.190228,-741.508638,0.000
28.262,1268.000,35.000,-1108.637394,10309.874080,-32768.000000,30736.000000,-748.708893,10785.129900,-32736.000000,29106.000000,0.793291,-13.400815,nan,nan,nan,nan,nan,nan,-1053.637394,-747.708893,0.000
29.280,1102.000,32.000,-1136.198227,10349.799467,-32768.000000,30827.000000,-742.737484,10766.753531,-32736.000000,29106.000000,-12.655470,-1.540678,nan,nan,nan,nan,nan,nan,-1081.198227,-741.737484,0.000
30.361,1126.000,33.000,-1168.294244,10398.731176,-32768.000000,30834.000000,-734.081335,10746.176556,-32736.000000,29106.000000,-28.254790,13.732873,nan,nan,nan,nan,nan,nan,-1167.294244,-733.081335,0.000
31.440,1205.000,34.000,-1203.562608,10457.747694,-32768.000000,30836.000000,-740.452313,10753.054805,-32736.000000,28041.000000,-37.203740,16.189405,nan,nan,nan,nan,nan,nan,-1202.562608,-739.452313,0.000
32.495,1134.000,33.000,-1220.784534,10491.150578,-32768.000000,30836.000000,-746.019532,10758.586121,-32736.000000,28041.000000,-43.323722,19.666477,nan,nan,nan,nan,nan,nan,-1148.784534,-745.019532,0.000
33.569,1154.000,33.000,-1261.044324,10555.766350,-32768.000000,30836.000000,-743.124856,10756.237001,-32736.000000,28041.000000,-51.550695,20.178080,nan,nan,nan,nan,nan,nan,-1260.044324,-742.124856,0.000
34.589,1121.000,32.000,-1274.030130,10598.540664,-32768.000000,30846.000000,-739.389710,10738.892292,-32744.000000,28041.000000,-51.284442,19.865494,nan,nan,nan,nan,nan,nan,-1273.030130,-738.389710,0.000
35.611,1163.000,33.000,-1226.030584,10647.361740,-32768.000000,30846.000000,-755.703932,10715.148575,-32744.000000,28041.000000,-24.166275,11.263615,nan,nan,nan,nan,nan,nan,-1225.030584,-754.703932,0.000
36.720,1210.000,34.000,-1185.860574,10707.626885,-32768.000000,31024.000000,-772.738940,10669.088570,-32744.000000,28041.000000,-3.312830,-0.523076,nan,nan,nan,nan,nan,nan,-1184.860574,-771.738940,0.000
37.860,1284.000,36.000,-1148.285668,10779.298569,-32768.000000,31024.000000,-811.362846,10643.517696,-32744.000000,28041.000000,16.166155,-13.799878,nan,nan,nan,nan,nan,nan,-1070.285668,-810.362846,0.000
38.972,1167.000,33.000,-1111.685690,10833.658708,-32768.000000,31024.000000,-850.553203,10636.429863,-32744.000000,28041.000000,33.287499,-17.329715,nan,nan,nan,nan,nan,nan,-1110.685690,-849.553203,0.000
40.080,1219.000,35.000,-1087.596605,10842.073285,-32768.000000,31024.000000,-852.338645,10646.828560,-32744.000000,28041.000000,42.440322,-11.790232,nan,nan,nan,nan,nan,nan,-1086.596605,-851.338645,0.000
41.190,1190.000,34.000,-1092.373005,10857.539891,-32768.000000,31024.000000,-855.142376,10647.471236,-32744.000000,28041.000000,44.168706,-8.859159,nan,nan,nan,nan,nan,nan,-1091.373005,-854.142376,0.000
42.270,1210.000,35.000,-1089.334838,10857.080579,-32768.000000,31024.000000,-853.422703,10635.257494,-32744.000000,28041.000000,49.399038,-9.657518,nan,nan,nan,nan,nan,nan,-1012.334838,-852.422703,0.000
43.301,1036.000,30.000,-1084.426366,10856.558208,-32768.000000,31024.000000,-838.977908,10613.280003,-32744.000000,28041.000000,50.460270,-5.549639,nan,nan,nan,nan,nan,nan,-1083.426366,-837.977908,0.000
44.389,1170.000,33.000,-1093.852092,10864.361850,-32768.000000,31024.000000,-809.891172,10554.171968,-32744.000000,28041.000000,49.771315,-0.346954,nan,nan,nan,nan,nan,nan,-1092.852092,-808.891172,0.000
45.483,1272.000,35.000,-1081.337215,10835.715455,-32768.000000,31024.000000,-789.737899,10500.050892,-32744.000000,28041.000000,53.875177,4.561615,nan,nan,nan,nan,nan,nan,-1004.337215,-788.737899,0.000
46.561,1218.000,33.000,-1069.250353,10807.110859,-32768.000000,31024.000000,-768.569526,10441.274187,-32744.000000,28041.000000,58.133445,12.855060,nan,nan,nan,nan,nan,nan,-1068.250353,-767.569526,0.000
47.629,1238.000,34.000,-1068.556834,10791.258817,-32768.000000,31024.000000,-748.569657,10371.856623,-32744.000000,28041.000000,54.568981,15.509106,nan,nan,nan,nan,nan,nan,-1067.556834,-747.569657,0.000
48.660,1160.000,32.000,-1052.042546,10757.253690,-32768.000000,31024.000000,-733.958385,10325.805455,-32744.000000,28041.000000,44.984828,20.347202,nan,nan,nan,nan,nan,nan,-1051.042546,-732.958385,0.000
49.725,1164.000,33.000,-1043.740144,10755.278747,-32768.000000,31024.000000,-704.591135,10295.808782,-32744.000000,28673.000000,34.708440,33.041001,nan,nan,nan,nan,nan,nan,-966.740144,-703.591135,0.000
50.790,1188.000,33.000,-1039.276325,10754.577830,-32768.000000,31024.000000,-682.862933,10274.883974,-32744.000000,28673.000000,22.930603,45.857361,nan,nan,nan,nan,nan,nan,-962.276325,-681.862933,0.000
51.840,1170.000,33.000,-1041.347390,10759.892712,-32768.000000,31024.000000,-670.104716,10249.534035,-32744.000000,28673.000000,1.858872,46.435650,nan,nan,nan,nan,nan,nan,-1040.347390,-669.104716,0.000
52.920,1160.000,33.000,-1028.754088,10753.564230,-32768.000000,31024.000000,-649.707863,10229.651927,-32744.000000,28673.000000,-15.388648,55.306204,nan,nan,nan,nan,nan,nan,-951.754088,-648.707863,0.000
53.971,1226.000,34.000,-1012.144133,10741.891148,-32768.000000,31024.000000,-610.831337,10198.600460,-32744.000000,28673.000000,-39.080079,66.221628,nan,nan,nan,nan,nan,nan,-1011.144133,-609.831337,0.000
55.021,1122.000,31.000,-1016.174165,10751.451458,-32768.000000,31024.000000,-581.494312,10166.308308,-32744.000000,28673.000000,-45.734455,69.493452,nan,nan,nan,nan,nan,nan,-1015.174165,-580.494312,0.000
56.101,1192.000,33.000,-1019.657980,10754.631598,-32768.000000,31024.000000,-558.453487,10124.207645,-32744.000000,28673.000000,-34.759758,61.591382,nan,nan,nan,nan,nan,nan,-1018.657980,-557.453487,0.000
57.153,1192.000,33.000,-1008.620550,10738.895223,-32768.000000,31024.000000,-534.961677,10092.692474,-32744.000000,28673.000000,-16.423216,51.324648,nan,nan,nan,nan,nan,nan,-1007.620550,-533.961677,0.000
58.172,1184.000,33.000,-978.207439,10704.725106,-32768.000000,31024.000000,-507.321449,10064.984553,-32744.000000,28673.000000,1.062429,39.265149,nan,nan,nan,nan,nan,nan,-977.207439,-506.321449,0.000
59.294,1226.000,34.000,-933.917430,10642.946031,-32768.000000,31024.000000,-490.711127,10046.068618,-32744.000000,28673.000000,12.144630,27.778553,nan,nan,nan,nan,nan,nan,-932.917430,-489.711127,0.000
60.361,1198.000,33.000,-904.267567,10590.970618,-32768.000000,31024.000000,-489.541042,10039.233538,-32744.000000,28673.000000,9.559344,24.435510,nan,nan,nan,nan,nan,nan,-903.267567,-488.541042,0.000
61.413,1186.000,32.000,-860.904502,10522.764708,-32768.000000,31024.000000,-479.557305,10016.810525,-32744.000000,28673.000000,9.986242,14.674734,nan,nan,nan,nan,nan,nan,-859.904502,-478.557305,0.000
62.460,1266.000,34.000,-824.667237,10465.764852,-32768.000000,31024.000000,-472.828501,10002.712949,-32744.000000,28673.000000,7.556670,4.538620,nan,nan,nan,nan,nan,nan,-823.667237,-471.828501,0.000
63.511,1165.000,32.000,-781.304774,10391.182854,-32768.000000,31024.000000,-476.856244,9985.322559,-32744.000000,28673.000000,6.130936,-4.556704,nan,nan,nan,nan,nan,nan,-780.304774,-475.856244,0.000
64.560,1180.000,32.000,-756.080050,10331.019790,-32768.000000,31024.000000,-473.223758,9987.292583,-32744.000000,28673.000000,3.163062,-6.103261,nan,nan,nan,nan,nan,nan,-755.080050,-472.223758,0.000
65.622,1234.000,34.000,-802.963506,10277.139665,-32768.000000,31024.000000,-425.590099,9984.770979,-32736.000000,30191.000000,0.036295,-3.136566,nan,nan,nan,nan,nan,nan,17877.036494,-350.590099,0.000
66.661,1156.000,32.000,-855.744584,10252.433133,-32768.000000,30846.000000,-376.272155,9982.280729,-32736.000000,30191.000000,-11.287813,-0.232911,nan,nan,nan,nan,nan,nan,21920.255416,-298.272155,0.000
67.740,1152.000,33.000,-904.001763,10200.474364,-32768.000000,30846.000000,-325.544006,9985.133118,-32736.000000,30191.000000,-20.300290,2.136138,nan,nan,nan,nan,nan,nan,11631.998237,-246.544006,0.000
68.777,1154.000,33.000,-948.811911,10153.461734,-32768.000000,30846.000000,-281.735351,9992.718974,-32736.000000,30191.000000,-24.829843,0.460416,nan,nan,nan,nan,nan,nan,67.188089,-203.735351,0.000
69.819,1132.000,33.000,-968.946055,10151.765560,-32768.000000,30839.000000,-269.277444,9993.085034,-32736.000000,30191.000000,-24.002926,1.896353,nan,nan,nan,nan,nan,nan,-967.946055,-268.277444,0.000
70.860,1088.000,31.000,-969.768407,10146.605582,-32768.000000,30839.000000,-279.857382,10018.763842,-32736.000000,30191.000000,-23.319239,-6.690399,nan,nan,nan,nan,nan,nan,-968.768407,-278.857382,0.000
71.911,1164.000,33.000,-974.700487,10148.845422,-32768.000000,30839.000000,-303.584672,10064.897389,-32736.000000,30191.000000,-25.655306,-29.636917,nan,nan,nan,nan,nan,nan,-973.700487,-302.584672,0.000
72.967,1174.000,34.000,-971.499806,10143.432753,-32768.000000,30839.000000,-315.698779,10105.374665,-32736.000000,30191.000000,-21.521939,-44.389681,nan,nan,nan,nan,nan,nan,-970.499806,-314.698779,0.000
74.050,1100.000,32.000,-978.006344,10155.567981,-32768.000000,30839.000000,-340.489392,10152.847034,-32736.000000,30191.000000,-18.562286,-46.094436,nan,nan,nan,nan,nan,nan,-977.006344,-339.489392,0.000
75.091,1126.000,33.000,-978.278412,10167.344250,-32768.000000,30839.000000,-336.771652,10182.213048,-32736.000000,30191.000000,-20.210655,-35.817829,nan,nan,nan,nan,nan,nan,-977.278412,-335.771652,0.000
76.112,1114.000,32.000,-987.541376,10187.183742,-32768.000000,30839.000000,-319.956484,10183.962272,-32736.000000,30191.000000,-23.102616,-23.529881,nan,nan,nan,nan,nan,nan,-986.541376,-318.956484,0.000
77.161,1174.000,33.000,-991.329985,10200.512966,-32768.000000,30839.000000,-309.320512,10192.539811,-32736.000000,30191.000000,-20.345249,-13.904110,nan,nan,nan,nan,nan,nan,-990.329985,-308.320512,0.000
78.211,1110.000,32.000,-995.627741,10211.069723,-32768.000000,30839.000000,-297.727076,10192.427205,-32736.000000,31016.000000,-15.001653,-4.298641,nan,nan,nan,nan,nan,nan,-994.627741,-296.727076,0.000
79.261,1138.000,33.000,-999.539680,10213.505929,-32768.000000,30839.000000,-292.555944,10193.303987,-32736.000000,31016.000000,-8.492478,3.892037,nan,nan,nan,nan,nan,nan,-998.539680,-291.555944,0.000
80.294,1084.000,31.000,-1024.704168,10232.687820,-32768.000000,30839.000000,-303.806712,10184.676583,-32736.000000,32552.000000,-9.821954,7.070065,nan,nan,nan,nan,nan,nan,-1023.704168,-302.806712,0.000
81.392,1252.000,35.000,-1032.065029,10226.620778,-32768.000000,30839.000000,-294.068465,10149.033340,-32736.000000,32552.000000,-4.021465,10.316131,nan,nan,nan,nan,nan,nan,-1031.065029,-293.068465,0.000
82.440,1166.000,32.000,-1040.065061,10229.720910,-32768.000000,30839.000000,-279.835363,10118.606380,-32736.000000,32552.000000,-3.009178,12.495118,nan,nan,nan,nan,nan,nan,-958.065061,-278.835363,0.000
