# FNIRS session start 2025-08-10T09:53:07.457161
# columns: t_rel, sr, nr, red_mean, red_std, red_min, red_max, ir_mean, ir_std, ir_min, ir_max
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.976,767.606,30.824,46352.176166,24475.214955,384.000000,65535.000000,37842.305699,27676.520279,61.000000,65535.000000
2.038,762.696,31.073,46296.262326,24358.825241,384.000000,65535.000000,37627.823641,27587.900176,61.000000,65535.000000
3.065,799.018,31.143,46441.213899,24355.764242,384.000000,65535.000000,38039.809821,27647.029693,61.000000,65535.000000
4.076,787.432,30.666,46456.894342,24350.788350,384.000000,65535.000000,38255.816505,27671.683471,61.000000,65535.000000
5.103,810.868,32.123,46433.406498,24374.437525,384.000000,65535.000000,38322.493304,27695.432945,61.000000,65535.000000
6.123,793.680,31.394,46407.157199,24403.205374,384.000000,65535.000000,38318.688701,27703.660410,61.000000,65535.000000
7.140,696.122,29.497,46271.763741,24473.688124,384.000000,65535.000000,38054.910615,27703.806048,61.000000,65535.000000
8.169,792.456,32.048,46262.839749,24491.466685,384.000000,65535.000000,38003.365436,27694.987898,61.000000,65535.000000
9.184,800.440,31.544,46282.241884,24493.617444,384.000000,65535.000000,38036.087920,27691.678130,61.000000,65535.000000
10.194,776.059,30.686,46322.424193,24499.465034,384.000000,65535.000000,38080.009295,27704.690721,61.000000,65535.000000
11.241,781.110,30.557,46367.869803,24486.093808,0.000000,65535.000000,38144.320310,27711.494079,61.000000,65535.000000
12.298,784.198,31.217,46376.259263,24482.829692,0.000000,65535.000000,38145.223980,27716.418166,61.000000,65535.000000
13.368,800.565,31.798,46389.274847,24475.336074,0.000000,65535.000000,38143.881976,27710.165041,61.000000,65535.000000
14.389,773.438,30.350,46423.084503,24467.836872,0.000000,65535.000000,38155.478674,27701.643701,61.000000,65535.000000
15.432,799.494,31.635,46437.092902,24469.016754,0.000000,65535.000000,38157.859944,27701.322190,61.000000,65535.000000
16.459,797.433,31.157,46459.342450,24464.429506,0.000000,65535.000000,38198.617882,27701.913016,61.000000,65535.000000
17.509,780.359,30.490,46480.673394,24452.748887,0.000000,65535.000000,38228.701370,27698.009536,61.000000,65535.000000
18.542,817.740,31.935,46495.723698,24444.686727,0.000000,65535.000000,38255.208702,27698.507009,61.000000,65535.000000
19.593,799.663,31.415,46492.586659,24443.877751,0.000000,65535.000000,38254.313867,27693.771307,61.000000,65535.000000
20.681,764.308,30.315,46498.069876,24446.877778,0.000000,65535.000000,38242.525457,27691.100661,61.000000,65535.000000
21.700,805.980,31.415,46495.911861,24437.104361,0.000000,65535.000000,38263.471753,27689.139115,61.000000,65535.000000
22.713,803.454,31.585,46506.610079,24428.806951,0.000000,65535.000000,38273.149346,27689.258615,61.000000,65535.000000
23.747,789.744,30.932,46512.381118,24426.655392,0.000000,65535.000000,38288.386681,27691.061384,61.000000,65535.000000
24.771,745.263,30.279,46503.745452,24436.377645,0.000000,65535.000000,38260.528626,27697.385886,61.000000,65535.000000
25.803,798.284,31.970,46495.892368,24441.427419,0.000000,65535.000000,38253.046741,27706.424181,61.000000,65535.000000
