# FNIRS session start 2025-08-10T13:47:56.218520Z
# columns: t_rel, sr, nr, red_mean, red_std, red_min, red_max, ir_mean, ir_std, ir_min, ir_max, red_slope, ir_slope, mbll_hbo_mean, mbll_hbo_std, mbll_hbr_mean, mbll_hbr_std, hbo_slope, hbr_slope, red_delta_mean, ir_delta_mean, hr_bpm
0.000,23.000,1.000,43456.695652,25111.710442,384.000000,65535.000000,34960.304348,27916.660657,61.000000,65535.000000,0.000000,0.000000,1.127699,2.411000,0.154060,2.113586,0.000000,0.000000,-22078.304348,-30574.695652,0.000
1.049,823.000,33.000,46193.440898,24371.416575,384.000000,65535.000000,37859.594563,27813.421761,61.000000,65535.000000,55.652698,792.192818,0.661169,2.008675,0.263146,1.749560,-0.066577,0.008457,-19341.559102,-27675.405437,0.000
2.069,778.000,31.000,46227.618227,24165.767650,384.000000,65535.000000,38011.175493,27699.250818,61.000000,65535.000000,148.163731,549.623167,0.645929,1.997752,0.281317,1.720473,-0.033298,-0.012404,-19307.381773,-27523.824507,0.000
3.058,782.000,31.000,46334.126766,24147.047437,384.000000,65535.000000,38085.550707,27703.609702,61.000000,65535.000000,206.835679,246.674731,0.620923,1.994775,0.289248,1.724317,-0.015329,0.001216,-19200.873234,-27449.449293,0.000
4.083,790.000,32.000,46344.735607,24138.143518,384.000000,65535.000000,37974.061952,27702.217436,61.000000,65535.000000,93.977235,-23.729454,0.625355,1.994397,0.283612,1.719046,0.001349,-0.005606,-19190.264393,-27560.938048,0.000
5.069,767.000,31.000,46356.706031,24149.170632,384.000000,65535.000000,37919.547565,27708.945961,61.000000,65535.000000,62.604710,-50.779800,0.628660,1.987833,0.283328,1.712485,0.003092,-0.002933,-19178.293969,-27615.452435,0.000
6.120,829.000,32.000,46468.803422,24107.007337,384.000000,65535.000000,38122.757930,27705.759702,61.000000,65535.000000,126.564946,135.895781,0.618905,1.973682,0.285073,1.700606,-0.005938,-0.000444,-19066.196578,-27412.242070,0.000
7.171,863.000,34.000,46510.545568,24126.293856,384.000000,65535.000000,38166.100551,27704.768944,61.000000,65535.000000,111.001890,118.477921,0.616343,1.970658,0.287476,1.700499,-0.005582,0.001420,-19024.454432,-27368.899449,0.000
8.311,895.000,35.000,46527.907939,24136.490379,384.000000,65535.000000,38243.025954,27704.493822,61.000000,65535.000000,79.148598,119.874202,0.610251,1.960844,0.291611,1.694912,-0.007200,0.003509,-19007.092061,-27291.974046,0.000
9.328,755.000,31.000,46464.022040,24171.729828,384.000000,65535.000000,38148.462560,27722.610450,61.000000,65535.000000,19.559355,30.959495,0.615867,1.971545,0.292140,1.706096,-0.001926,0.002836,-19070.977960,-27386.537440,0.000
10.349,808.000,32.000,46490.426106,24176.805897,384.000000,65535.000000,38168.979046,27729.318074,61.000000,65535.000000,28.384204,34.375232,0.614917,1.969241,0.292717,1.705212,-0.001946,0.002381,-19044.573894,-27366.020954,0.000
11.369,785.000,32.000,46437.666554,24217.790768,384.000000,65535.000000,38116.340301,27743.506138,61.000000,65535.000000,-4.654983,-0.423046,0.617807,1.976996,0.294658,1.714337,-0.000024,0.002749,-19097.333446,-27418.659699,0.000
12.480,848.000,34.000,46421.384465,24228.727362,384.000000,65535.000000,38095.702852,27751.468872,61.000000,65535.000000,-10.568182,-9.493474,0.619723,1.982221,0.294775,1.719823,0.000843,0.002132,-19113.615535,-27439.297148,0.000
13.537,815.000,33.000,46404.053499,24250.129097,384.000000,65535.000000,38071.997159,27766.916564,61.000000,65535.000000,-15.233967,-17.283833,0.622083,1.988466,0.295058,1.726347,0.001625,0.001791,-19130.946501,-27463.002841,0.000
14.582,831.000,33.000,46422.836376,24256.245794,384.000000,65535.000000,38094.601036,27775.362963,61.000000,65535.000000,-5.151681,-5.449571,0.621534,1.988331,0.295463,1.726971,0.001092,0.001581,-19112.163624,-27440.398964,0.000
15.667,831.000,33.000,46438.799885,24261.170023,384.000000,65535.000000,38107.843001,27781.334448,61.000000,65535.000000,1.251293,-0.101987,0.621358,1.988476,0.295417,1.727498,0.000841,0.001263,-19096.200115,-27427.156999,0.000
16.678,803.000,32.000,46430.742515,24269.444444,304.000000,65535.000000,38098.771994,27782.736711,61.000000,65535.000000,-1.726018,-3.395475,0.621788,1.989881,0.295957,1.729488,0.000852,0.001226,-19104.257485,-27436.228006,0.000
17.789,852.000,35.000,46399.636115,24277.185356,304.000000,65535.000000,38043.032353,27774.151220,61.000000,65535.000000,-11.555731,-20.959587,0.622905,1.990282,0.295940,1.729977,0.001058,0.001004,-19135.363885,-27491.967647,0.000
18.869,837.000,33.000,46419.611145,24264.526759,304.000000,65535.000000,38079.270133,27774.830055,61.000000,65535.000000,-3.415339,-6.322700,0.621830,1.988436,0.295108,1.727083,0.000543,0.000600,-19115.388855,-27455.729867,0.000
19.950,857.000,34.000,46424.152389,24257.784984,304.000000,65535.000000,38087.233496,27774.542857,61.000000,65535.000000,-1.397037,-2.792576,0.621361,1.986506,0.295179,1.725339,0.000316,0.000524,-19110.847611,-27447.766504,0.000
20.959,797.000,31.000,46466.874702,24249.209254,304.000000,65535.000000,38131.722280,27775.926802,61.000000,65535.000000,8.889231,7.071258,0.619531,1.983049,0.294934,1.722298,0.000022,0.000500,-19068.125298,-27403.277720,0.000
22.054,846.000,34.000,46473.181063,24254.219298,304.000000,65535.000000,38118.524543,27777.407598,61.000000,65535.000000,6.497496,2.820863,0.620599,1.985365,0.294695,1.724882,0.000255,0.000002,-19061.818937,-27416.475457,0.000
23.160,899.000,36.000,46493.326902,24262.125717,304.000000,65535.000000,38111.514706,27783.461715,61.000000,65535.000000,12.743970,1.731873,0.621804,1.987885,0.294248,1.727661,0.000387,-0.000062,-19041.673098,-27423.485294,0.000
24.312,863.000,34.000,46516.652474,24252.904047,304.000000,65535.000000,38119.021078,27779.843586,61.000000,65535.000000,17.330799,-5.244028,0.621271,1.985622,0.293900,1.725780,0.000717,-0.000717,-19018.347526,-27415.978922,0.000
25.477,910.000,36.000,46520.400664,24248.718150,304.000000,65535.000000,38124.303113,27774.514392,61.000000,65535.000000,19.968314,-2.742453,0.620293,1.984218,0.294357,1.725132,0.000206,-0.000702,-19014.599336,-27410.696887,0.000
26.656,965.000,38.000,46533.919236,24243.529420,304.000000,65535.000000,38136.600115,27766.439318,61.000000,65535.000000,28.038576,10.191444,0.619865,1.983834,0.293496,1.723565,-0.000423,-0.001121,-19001.080764,-27398.399885,0.000
27.659,774.000,31.000,46534.577453,24242.374128,304.000000,65535.000000,38130.487469,27765.675205,61.000000,65535.000000,33.564595,16.219159,0.620417,1.983905,0.292926,1.722920,-0.000702,-0.001279,-19000.422547,-27404.512531,0.000
28.769,830.000,34.000,46520.971188,24239.077050,304.000000,65535.000000,38105.247907,27764.835218,61.000000,65535.000000,25.688267,9.595476,0.622513,1.984973,0.290835,1.721007,-0.000218,-0.001874,-19014.028812,-27429.752093,0.000
29.863,905.000,35.000,46549.599871,24227.349678,304.000000,65535.000000,38134.836683,27761.182689,61.000000,65535.000000,30.511621,14.203013,0.621195,1.982521,0.290308,1.718399,-0.000466,-0.001967,-18985.400129,-27400.163317,0.000
31.020,886.000,35.000,46552.742195,24224.366455,304.000000,65535.000000,38141.117994,27758.165314,61.000000,65535.000000,29.830412,22.294230,0.620708,1.981558,0.290548,1.717840,-0.001147,-0.001473,-18982.257805,-27393.882006,0.000
32.190,919.000,37.000,46546.031074,24224.893946,304.000000,65535.000000,38130.854446,27755.542398,61.000000,65535.000000,13.684166,3.966811,0.620363,1.981171,0.291066,1.718201,-0.000663,-0.000945,-18988.968926,-27404.145554,0.000
